corners,notation,alg
UBL-URB,AB,"[Lw': [R' D2 R, U]]"
UBL-ULF,AC,"[R' D' U' : [R' D R, U']]"
UBL-LFU,AE,"[F: [R' D' R, U2]]"
UBL-LDF,AF,"[U2, R' D R]"
UBL-LBD,AG,"[U': [U2, R D' R']]"
UBL-FUL,AH,"[Lw': [R' D2 R, U2]]"
UBL-FDR,AI,"[D': [U2, R' D R]]"
UBL-FLD,AJ,"[D' U': [U2, R D' R']]"
UBL-RBU,AK,"[R D R': [U2, R' D2 R]]"
UBL-RDB,AL,"[U': [U2, R D R']]"
UBL-RFD,AM,"[U2, R' D' R]"
UBL-BUR,AN,"[R' D': [R' D R, U2]]"
UBL-BDL,AP,"[U2, R' D2 R]"
UBL-BRD,AQ,"[D U': [U2, R D' R']]"
UBL-DFL,AR,"[R F' R' U': [U2, R D R']]"
UBL-DRF,AS,"[D R D' R': [U2, R' D R]]"
UBL-DBR,AT,"[R D' R': [U2, R' D R]]"
UBL-DLB,AU,"[R' z R': [U2, R' D R]]"
URB-UBL,BA,"[Lw': [U, R' D2 R]]"
URB-ULF,BC,"[R F' R2': [R U R', D]]"
URB-LUB,BD,"[R: [R D R', U]]"
URB-LFU,BE,"[R': [U', R' D' R]]"
URB-LDF,BF,"[U, R' D R]"
URB-LBD,BG,"[R D' R', U']"
URB-FUL,BH,"[R: [R D R', U2]]"
URB-FDR,BI,"[D': [U, R' D R]]"
URB-FLD,BJ,"[D: [U, R' D' R]]"
URB-RDB,BL,"[R D R', U']"
URB-RFD,BM,"[U, R' D' R]"
URB-BLU,BO,"[R': [U2, R' D' R]]"
URB-BDL,BP,"[U, R' D2 R]"
URB-BRD,BQ,"[D: [R' D' R, U']]"
URB-DFL,BR,"[x': [R U R', D2]]"
URB-DRF,BS,"[U, R' D R U' R D' R']"
URB-DBR,BT,"[U R D' R': [R' D R, U']]"
URB-DLB,BU,"[x: [D2, R' U' R]]"
ULF-UBL,CA,"[R' D' R U2: [R' D R, U]]"
ULF-URB,CB,"[R F' R2': [D , R U R']]"
ULF-LUB,CD,"[U' R: [U2, R D R']]"
ULF-LDF,CF,"[U', R' D R]"
ULF-LBD,CG,"[U': [U', R D' R']]"
ULF-FDR,CI,"[D': [U', R' D R]]"
ULF-FLD,CJ,"[D': [U', R' D' R]]"
ULF-RBU,CK,"[U' R': [R' D' R, U2]]"
ULF-RDB,CL,"[U': [U', R D R']]"
ULF-RFD,CM,"[U', R' D' R]"
ULF-BUR,CN,"[U' R: [U, R D R']]"
ULF-BLU,CO,"[U' R': [R' D' R, U']]"
ULF-BDL,CP,"[U', R' D2 R]"
ULF-BRD,CQ,"[D': [U', R' D' R]]"
ULF-DFL,CR,"[U' x': [D2, R U R']]"
ULF-DRF,CS,"[U', R' D R U' R D' R']"
ULF-DBR,CT,"[R D' R': [U', R' D R]]"
ULF-DLB,CU,"[R' D' R: [D, R U' R']]"
LUB-URB,DB,"[R: [U, R D R']]"
LUB-ULF,DC,"[U' R: [R D R', U2]]"
LUB-LFU,DE,"[z: [R' D' R, U]]"
LUB-LDF,DF,"[U R': [R' D R, U']]"
LUB-LBD,DG,"[z U: [U, R' D' R]]"
LUB-FUL,DH,"[Lw' U: [U2, R D' R']]"
LUB-FDR,DI,"[R U R': [U', R' D' R]]"
LUB-FLD,DJ,"[R U: [U, R' D R]]"
LUB-RBU,DK,"[R: [U, R2' D R2 D' R2']]"
LUB-RDB,DL,"[R D: [U, R D R']]"
LUB-RFD,DM,"[D' R U: [U, R' D R]]"
LUB-BUR,DN,"[x: [U' L U, R']]"
LUB-BDL,DP,"[R' D2 R, U R': [U']"
LUB-BRD,DQ,"[R U: [U, R' D' R]]"
LUB-DFL,DR,"[R: [U, R D2 R']]"
LUB-DRF,DS,"[U2 x': [D', R U' R']]"
LUB-DBR,DT,"[D R: [U, R D' R']]"
LUB-DLB,DU,"[R: [U, R D' R']]"
LFU-UBL,EA,"[F: [U2, R' D' R]]"
LFU-URB,EB,"[R': [R' D' R, U']]"
LFU-LUB,ED,"[z: [U, R' D' R]]"
LFU-LDF,EF,"[z: [U', R' D' R]]"
LFU-LBD,EG,"[z: [U2, R' D' R]]"
LFU-FDR,EI,"[z: [R U R', D]]"
LFU-FLD,EJ,"[D R' U': [R U R', D']]"
LFU-RBU,EK,"[F' U: [U2, R' D R]]"
LFU-RDB,EL,"[R' U’: [U2, R' D' R]]"
LFU-RFD,EM,"[R' U': [R U R', D']]"
LFU-BUR,EN,"[z: [R U R', D']]"
LFU-BLU,EO,"[x': [D, R U' R']]"
LFU-BDL,EP,"[x': [D, R U2 R']]"
LFU-BRD,EQ,"[F: [R U R', D']]"
LFU-DFL,ER,"[U' R' U: [D, R U' R']]"
LFU-DRF,ES,"[R U' R': [U2, R' D' R]]"
LFU-DBR,ET,"[R U R', z: [D2]"
LFU-DLB,EU,"[R2 D2: [D, R U' R']]"
LDF-UBL,FA,"[R' D R, U2]"
LDF-URB,FB,"[R' D R, U]"
LDF-ULF,FC,"[R' D R, U']"
LDF-LUB,FD,"[U R': [U', R' D R]]"
LDF-LFU,FE,"[R' U': [D, R U R']]"
LDF-LBD,FG,"[z': [D', R U' R']]"
LDF-FUL,FH,"D R' F2 R D' R' D F2 D' R"
LDF-FDR,FI,"[U: [R U' R', D]]"
LDF-RBU,FK,"[U R U: [U2, R' D R]]"
LDF-RDB,FL,"[UD: [D2, R U' R']]"
LDF-RFD,FM,"[U R' D: [D2, R U' R']]"
LDF-BUR,FN,"[R' U: [D, R U' R']]"
LDF-BLU,FO,"[Lw U': [R D' R', U']]"
LDF-BDL,FP,"[UD: [D, R U' R']]"
LDF-BRD,FQ,"[R' U' R: [U2, R' D R]]"
LDF-DRF,FS,"[z R' D R: [R' D2 R, U']]"
LDF-DBR,FT,"[U R: [R U' R', D]]"
LDF-DLB,FU,"[F' [R U' R', D2]]"
LBD-UBL,GA,"[U': [R D' R', U2]]"
LBD-URB,GB,"[U', R D' R']"
LBD-ULF,GC,"[U': [R D' R', U']]"
LBD-LUB,GD,"[z U: [R' D' R, U]]"
LBD-LFU,GE,"[z: [R' D' R, U2]]"
LBD-LDF,GF,"[z': [R U' R', D']]"
LBD-FUL,GH,"[Lw': [R' D R, U2]]"
LBD-FDR,GI,"[Lw' U: [R U' R', D]]"
LBD-FLD,GJ,"[D2: [D', R U R']]"
LBD-RBU,GK,"[U R: [U2, R D' R']]"
LBD-RDB,GL,"[R D': [D2, R' U' R]]"
LBD-RFD,GM,"[R U R', D2]"
LBD-BUR,GN,"[R, U' L U]"
LBD-BLU,GO,"[U2 R: [U, R D' R']]"
LBD-BRD,GQ,"[D': [R U R', D']]"
LBD-DFL,GR,"[R D R' D: [D2, R U R']]"
LBD-DRF,GS,"[D2 R: [U', R D' R']]"
LBD-DBR,GT,"[R D' R’: [U, R’ D R]]"
FUL-UBL,HA,"[Lw': [U2, R' D2 R]]"
FUL-URB,HB,"[R: [U2, R D R']]"
FUL-LUB,HD,"[Lw' U: [R D' R', U2]]"
FUL-LDF,HF,"D R' F2 R D' R' D F2 D' R"
FUL-LBD,HG,"[Lw': [U2, R' D R]]"
FUL-FDR,HI,"D' R' D F2 D' R D R' F2 R"
FUL-FLD,HJ,"[R U: [U2, R' D R]]"
FUL-RBU,HK,"[R': [U', R2 D' R2' D R2]]"
FUL-RDB,HL,"[Lw' U': [U2, R D R']]"
FUL-RFD,HM,"[Lw': [U2, R' D' R]]"
FUL-BUR,HN,"[R D'U: [U2, R' D' R]]"
FUL-BLU,HO,"[R U R' D': [R' D R, U2]]"
FUL-BDL,HP,"D R' D F2 D' R D R' F2 R D2"
FUL-BRD,HQ,"[R U: [U2, R' D' R]]"
FUL-DFL,HR,"[R UD: [U2, R' D' R]]"
FUL-DRF,HS,"[D' R UD: [U2, R' D' R]]"
FUL-DBR,HT,"[D R: [U2, R D' R']]"
FUL-DLB,HU,"[R: [U2, R D' R']]"
FDR-UBL,IA,"[D': [R' D R, U2]]"
FDR-URB,IB,"[D': [R' D R, U]]"
FDR-ULF,IC,"[D': [R' D R, U']]"
FDR-LUB,ID,"[R U R': [R' D' R, U']]"
FDR-LFU,IE,"[z: [D, R U R']]"
FDR-LDF,IF,"[U: [D, R U' R']]"
FDR-LBD,IG,"[U R U': [R D' R', U']]"
FDR-FUL,IH,"D' R' D F2 D' R D R' F2 R"
FDR-FLD,IJ,"[z: [D, R U' R']]"
FDR-RBU,IK,"[U' R' U: [U2, R D R']]"
FDR-RDB,IL,"[U: [D', R U' R']]"
FDR-BUR,IN,"[D' R' U: [D, R U' R']]"
FDR-BLU,IO,"[Lw D': [R' D R, U']]"
FDR-BDL,IP,"[U: [D2, R U' R']]"
FDR-BRD,IQ,"[D R D: [D2, R' U' R]]"
FDR-DFL,IR,"U R U' F2 U R' U' R F2 R'"
FDR-DBR,IT,"[U R D': [R' D R, U']]"
FDR-DLB,IU,"[z: [D, R U2 R']]"
FLD-UBL,JA,"[D' U': [R D' R', U2]]"
FLD-URB,JB,"[D: [R' D' R, U]]"
FLD-ULF,JC,"[D': [R' D' R, U']]"
FLD-LUB,JD,"[R U: [R' D R, U]]"
FLD-LFU,JE,"[D R' U': [D', R U R']]"
FLD-LBD,JG,"[D2: [R U R', D']]"
FLD-FUL,JH,"[R U: [R' D R, U2]]"
FLD-FDR,JI,"[z: [R U' R', D]]"
FLD-RBU,JK,"[F' U: [U2, R' D' R]]"
FLD-RDB,JL,"[R D: [R' U' R, D]]"
FLD-RFD,JM,"[R U R', D]"
FLD-BUR,JN,"[z: [R U' R', D']]"
FLD-BLU,JO,"[D x': [D', R U' R']]"
FLD-BDL,JP,"[D' R D': [D2, R' U' R]]"
FLD-BRD,JQ,"[D: [D2, R U R']]"
FLD-DRF,JS,"[R U' R': [R' D R, U2]]"
FLD-DBR,JT,"[D R: [U’, R D' R']]"
FLD-DLB,JU,"[z' U': [D', R U R']]"
RBU-UBL,KA,"[R D R': [R' D2 R, U2]]"
RBU-ULF,KC,"[U' R': [U2, R' D' R]]"
RBU-LUB,KD,"[R: [R2' D R2 D' R2', U]]"
RBU-LFU,KE,"[F' U: [R' D R, U2]]"
RBU-LDF,KF,"[U R U: [R' D R, U2]]"
RBU-LBD,KG,"[U R: [R D' R', U2]]"
RBU-FUL,KH,"[R': [R2 D' R2' D R2, U']]"
RBU-FDR,KI,"[U' R' U: [R D R', U2]]"
RBU-FLD,KJ,"[F' U: [R' D' R, U2]]"
RBU-RDB,KL,"[U R U': [U2, R' D' R]]"
RBU-RFD,KM,"R2UD"
RBU-BLU,KO,"[U R: [R D R', U2]]"
RBU-BDL,KP,"[U' R' U’: [U2, R D' R']]"
RBU-BRD,KQ,"[UD R: [R D' R', U2]]"
RBU-DFL,KR,"[U' R': [U2, R' D R]]"
RBU-DRF,KS,"U R' F2 R D' R' D F2 D' R DU'"
RBU-DBR,KT,"[F': [R D R', U2]]"
RBU-DLB,KU,"[U'D R': [U2, R' D R]]"
RDB-UBL,LA,"[U': [R D R', U2]]"
RDB-URB,LB,"[U', R D R']"
RDB-ULF,LC,"[U': [R D R', U']]"
RDB-LUB,LD,"[R D: [R D R', U]]"
RDB-LFU,LE,"[R' U’: [R' D' R, U2]]"
RDB-LDF,LF,"[UD: [R U' R', D2]]"
RDB-LBD,LG,"[R D': [R' U' R, D2]]"
RDB-FUL,LH,"[Lw' U': [R D R', U2]]"
RDB-FDR,LI,"[U: [R U' R', D']]"
RDB-FLD,LJ,"[R D: [D, R' U' R]]"
RDB-RBU,LK,"[U R U': [R' D' R, U2]]"
RDB-RFD,LM,"[R D’: [U, R’ D R]]"
RDB-BUR,LN,"[U' R U: [D, R' U' R]]"
RDB-BLU,LO,"[R' U: [R' D' R. U]]"
RDB-BDL,LP,"[UD': [D', R U' R']]"
RDB-DFL,LR,"[U' R': [U, R' D R]]"
RDB-DRF,LS,"[DU R: [R U' R', D2]]"
RDB-DLB,LU,"[R2 D2: [D, R U R']]"
RFD-UBL,MA,"[R' D' R, U2]"
RFD-URB,MB,"[R' D' R, U]"
RFD-ULF,MC,"[R' D' R, U']"
RFD-LUB,MD,"[D' R U: [R' D R, U]]"
RFD-LFU,ME,"[R' U': [D', R U R']]"
RFD-LDF,MF,"[U R' D: [R U' R', D2]]"
RFD-LBD,MG,"[D2, R U R']"
RFD-FUL,MH,"[Lw': [R' D' R, U2]]"
RFD-FLD,MJ,"[D, R U R']"
RFD-RBU,MK,"[U' R' U'D: [R D' R', U2]]"
RFD-RDB,ML,"[R D’: [R’ D R, U]]"
RFD-BUR,MN,"[R D: [U’, R D' R']]"
RFD-BLU,MO,"[x': [D', R U' R']]"
RFD-BDL,MP,"[x': [D', R U2 R']]"
RFD-BRD,MQ,"[D', R U R']"
RFD-DFL,MR,"[R D: [R' D' R, U]]"
RFD-DBR,MT,"[R: [R' D R U' R D' R', U]]"
RFD-DLB,MU,"[R: [U', R D' R']]"
BUR-UBL,NA,"[R' D': [U2, R' D R]]"
BUR-ULF,NC,"[U' R: [R D R', U]]"
BUR-LUB,ND,"[x: [R', U' L U]]"
BUR-LFU,NE,"[z: [D', R U R']]"
BUR-LDF,NF,"[R' U: [R U' R', D]]"
BUR-LBD,NG,"[U' L U, R]"
BUR-FUL,NH,"[R D'U: [R' D' R, U2]]"
BUR-FDR,NI,"[D' R' U: [R U' R', D]]"
BUR-FLD,NJ,"[z: [D', R U' R']]"
BUR-RDB,NL,"[U' R U: [R' U' R, D]]"
BUR-RFD,NM,"[R D: [R D' R', U’]]"
BUR-BLU,NO,"[U' L' U, R]"
BUR-BDL,NP,"[R' U: [R U' R', D2]]"
BUR-BRD,NQ,"[R U': [D, R' U R]]"
BUR-DFL,NR,"[UD R' U': [D', R U R']]"
BUR-DRF,NS,"[U R' U': [D', R U R’]]"
BUR-DBR,NT,"[D R U': [D', R' U R]]"
BUR-DLB,NU,"[R U': [D', R' U R]]"
BLU-URB,OB,"[R': [R' D' R, U2]]"
BLU-ULF,OC,"[U' R': [U', R' D' R]]"
BLU-LFU,OE,"[x': [R U' R', D]]"
BLU-LDF,OF,"[Lw U': [U', R D' R']]"
BLU-LBD,OG,"[U2 R: [R D' R', U]]"
BLU-FUL,OH,"[R U R' D': [U2, R' D R]]"
BLU-FDR,OI,"[Lw D': [U', R' D R]]"
BLU-FLD,OJ,"[D x': [R U' R', D']]"
BLU-RBU,OK,"[U R: [U2, R D R']]"
BLU-RDB,OL,"[R' U: [R' D' R. U]]"
BLU-RFD,OM,"[x': [R U' R', D']]"
BLU-BUR,ON,"[R, U' L' U]"
BLU-BDL,OP,"[U', U' R' U': [R D' R']"
BLU-BRD,OQ,"[R2 U: [U2, R D R']]"
BLU-DFL,OR,"[U' R': [U', R' D R]]"
BLU-DRF,OS,"[U'D' R': [U', R' D R]]"
BLU-DBR,OT,"[R', [U' L' U, R2]]"
BLU-DLB,OU,"[U'D R’: [U', R’ D R]]"
BDL-UBL,PA,"[R' D2 R, U2]"
BDL-URB,PB,"[R' D2 R, U]"
BDL-ULF,PC,"[R' D2 R, U']"
BDL-LUB,PD,"[U R': [U', R' D2 R]"
BDL-LFU,PE,"[x': [R U2 R', D]]"
BDL-LDF,PF,"[UD: [R U' R', D]]"
BDL-FUL,PH,"D R' D F2 D' R D R' F2 R D2"
BDL-FDR,PI,"[U: [R U' R', D2]]"
BDL-FLD,PJ,"[D' R D': [R' U' R, D2]]"
BDL-RBU,PK,"[U' R' U’: [R D' R', U2]]"
BDL-RDB,PL,"[UD': [R U' R', D']]"
BDL-RFD,PM,"[x': [R U2 R', D']]"
BDL-BUR,PN,"[R' U: [D2, R U' R']]"
BDL-BLU,PO,"[U' R' U': [R D' R', U']"
BDL-BRD,PQ,"[U': [U' L U, R']]"
BDL-DFL,PR,"[x': [R U2 R', D2]]"
BDL-DRF,PS,"[U'D' R’: [U, R’ D R]]"
BDL-DBR,PT,"[U R: [D2, R U' R']]"
BRD-UBL,QA,"[D U': [R D' R', U2]]"
BRD-URB,QB,"[D: [U', R' D' R]]"
BRD-ULF,QC,"[D': [R' D' R, U']]"
BRD-LUB,QD,"[R U: [R' D' R, U]]"
BRD-LFU,QE,"[F: [D', R U R']]"
BRD-LDF,QF,"[R' U' R: [R' D R, U2]]"
BRD-LBD,QG,"[D': [D', R U R']]"
BRD-FUL,QH,"[R U: [R' D' R, U2]]"
BRD-FDR,QI,"[D R D: [R' U' R, D2]]"
BRD-FLD,QJ,"[D: [R U R', D2]]"
BRD-RBU,QK,"[UD R: [U2, R D' R']]"
BRD-RFD,QM,"[R U R', D']"
BRD-BUR,QN,"[R U': [R' U R, D]]"
BRD-BLU,QO,"[R2 U: [R D R', U2]]"
BRD-BDL,QP,"[U': [R', U' L U]]"
BRD-DFL,QR,"[D' R: [U', R D' R']]"
BRD-DRF,QS,"[D' R D: [R' D' R, U]]"
BRD-DLB,QU,"[R U'D: [D2, R' U R]]"
DFL-UBL,RA,"[R F' R' U': [R D R', U2]]"
DFL-URB,RB,"[x': [D2, R U R']]"
DFL-ULF,RC,"[U' x': [R U R', D2]]"
DFL-LUB,RD,"[R: [R D2 R', U]]"
DFL-LFU,RE,"[U' R' U: [R U' R', D]]"
DFL-LBD,RG,"[R D R' D: [R U R', D2]]"
DFL-FUL,RH,"[R UD: [R' D' R, U2]]"
DFL-FDR,RI,"U R U' F2 U R' U' R F2 R'"
DFL-RBU,RK,"[U' R': [R' D R, U2]]"
DFL-RDB,RL,"[U' R': [R' D R, U]]"
DFL-RFD,RM,"[R D: [U, R' D' R]]"
DFL-BUR,RN,"[UD R' U': [R U R', D']]"
DFL-BLU,RO,"[U' R': [R' D R, U']]"
DFL-BDL,RP,"[x': [D2, R U2 R']]"
DFL-BRD,RQ,"[D' R: [R D' R', U']]"
DFL-DRF,RS,"[U' R' F': [D', R U' R']]"
DFL-DBR,RT,"R2UD"
DFL-DLB,RU,"[x U: [U2, R' D R]]"
DRF-UBL,SA,"[D R D' R': [R' D R, U2]]"
DRF-URB,SB,"[R' D R U' R D' R', U]"
DRF-ULF,SC,"[R' D R U' R D' R', U']"
DRF-LUB,SD,"[U2 x': [R U' R', D']]"
DRF-LFU,SE,"[R U' R': [R' D' R, U2]]"
DRF-LDF,SF,"[z R' D R: [U', R' D2 R]]"
DRF-LBD,SG,"[D2 R: [R D' R', U']]"
DRF-FUL,SH,"[D' R UD: [R' D' R, U2]]"
DRF-FLD,SJ,"[R U' R': [U2, R' D R]]"
DRF-RBU,SK,"U R' F2 R D' R' D F2 D' R DU'"
DRF-RDB,SL,"[D' R: [R' U R U', F2]]"
DRF-BUR,SN,"[U R' U': [R U R’, D']]"
DRF-BLU,SO,"[U'D' R': [R' D R, U']]"
DRF-BDL,SP,"[U'D' R’: [R’ D R, U]]"
DRF-BRD,SQ,"[D' R D: [U, R' D' R]]"
DRF-DFL,SR,"[U' R' F': [R U' R', D']]"
DRF-DBR,ST,"[F' R U': [U2, R' D' R]]"
DRF-DLB,SU,"[R U' R' U: [U2, R D' R']]"
DBR-UBL,TA,"[R D' R': [R' D R, U2]]"
DBR-URB,TB,"[U R D' R': [U', R' D R]]"
DBR-ULF,TC,"[R D' R': [R' D R, U']]"
DBR-LUB,TD,"[D R: [R D' R', U]]"
DBR-LFU,TE,"[z: [D2, R U R']"
DBR-LDF,TF,"[U R: [D, R U' R']]"
DBR-LBD,TG,"[R D' R’: [R’ D R, U]]"
DBR-FUL,TH,"[D R: [R D' R', U2]]"
DBR-FDR,TI,"[U R D': [U', R' D R]]"
DBR-FLD,TJ,"[D R: [R D' R', U’]]"
DBR-RBU,TK,"[F': [U2, R D R']]"
DBR-RFD,TM,"[R: [U, R' D R U' R D' R']]"
DBR-BUR,TN,"[D R U': [R' U R, D']]"
DBR-BLU,TO,"[R', [U' L' U, R2]]"
DBR-BDL,TP,"[U R: [R U' R', D2]]"
DBR-DFL,TR,"R2UD"
DBR-DRF,TS,"[F' R U': [R' D' R, U2]]"
DBR-DLB,TU,"[z: [D2, R U2 R']]"
DLB-UBL,UA,"[R' z R': [R' D R, U2]]"
DLB-URB,UB,"[x: [R' U' R, D2]]"
DLB-ULF,UC,"[R' D' R: [R U' R', D]]"
DLB-LUB,UD,"[R: [R D' R', U]]"
DLB-LFU,UE,"[R2 D2: [R U' R', D]]"
DLB-LDF,UF,"[F' [R U' R', D2]]"
DLB-FUL,UH,"[R: [R D' R', U2]]"
DLB-FDR,UI,"[z: [R U2 R', D]]"
DLB-FLD,UJ,"[z' U': [R U R', D']]"
DLB-RBU,UK,"[U'D R': [R' D R, U2]]"
DLB-RDB,UL,"[R2 D2: [R U R', D]]"
DLB-RFD,UM,"[R: [R D' R', U']]"
DLB-BUR,UN,"[R U': [R' U R, D']]"
DLB-BLU,UO,"[U'D R’: [R’ D R, U']]"
DLB-BRD,UQ,"[R U'D: [R' U R, D2]]"
DLB-DFL,UR,"[x U: [R' D R, U2]]"
DLB-DRF,US,"[R U' R' U: [R D' R', U2]]"
DLB-DBR,UT,"[z: [R U2 R', D2]]"